,H3K9me3,H3K79me2,H3K4me3,H3K27ac,H4K20me1,H3K27me3,H3K36me3,H3K4me2,H3K4me1
18-29721000-32162000,6.19781574245321,2.73447329074351,2.26245793079724,2.26115487626326,3.06942579458891,4.9856098614219,3.32094529304084,3.24656153733314,2.57680719903635
18-33862000-34352000,3.35555167902311,2.35597209007295,2.50260905014268,2.0293748308525,3.6764890811267,8.54654137416395,2.95760852773057,3.60232733224223,2.82141101125917
18-34490000-36980000,6.75766020783719,2.31494945410433,2.20637020877197,5.52024767057409,3.17982186154684,4.85148291945697,3.20756568468375,3.06087116431688,3.01235835259707
18-37383000-42092000,5.43528322194254,2.38772601939266,2.04999864549628,2.04199279500923,2.76744822231182,3.56460591324948,3.70282077800509,3.17104124363684,2.89684210526316
18-48778000-51658000,6.44787630289821,2.20743438671666,1.94952624839949,1.62774187434853,2.84724251358398,4.03474400724762,2.88598493119297,2.73072866179249,2.05515366697573
18-52665000-54272000,5.76689596475418,2.27935231130844,2.09403404320281,1.77592013975543,3.21755519336198,6.30989307945807,3.00010890409337,3.14393624806874,2.66480830839641
18-57677000-59707000,3.77031536189069,2.21310271010832,2.03230502830503,1.84228233099477,3.09915970546377,5.65296347721099,3.06108333333333,3.05431063504208,2.59546618938419
18-61671000-64874000,6.71355710306407,2.33199720670391,2.01449501930318,2.22749018752726,2.67773935605614,3.75486627034447,3.5401716231165,3.29898321708806,2.64658720307425
18-65946000-67649000,4.90318211468896,2.6116173766875,2.32249782419495,2.02766815483491,2.78951739522114,3.62233349558739,3.85995361874609,3.30035881276682,2.49207927225471
18-68159000-70884000,6.3683697755924,2.14808038038385,2.00370621825741,1.71783721715637,2.67366259277861,3.68621091047226,3.17209708267112,2.95324683921361,2.27152416992709
18-71082000-72254000,3.7767815584033,3.18801516382345,3.22913420113957,3.59077872012336,3.38844999496425,5.92962355345651,3.59519396282899,4.13100737788035,3.54635789473684
18-72726000-74502000,4.06031777919825,3.15587053767213,2.95027568922306,2.81118483412322,3.48378570765374,7.43145164138374,3.10429869875106,3.66656656846907,2.5627858379229
18-74939000-76793000,4.23126059815522,2.34199024191909,2.22685733533393,1.67298768409267,3.70623974596454,9.38841114741264,2.63202808075573,2.76844370776489,1.9050520717926
1-90502000-91968000,6.83684889201929,6.57166306289367,3.11160910285206,3.83566781085097,3.7161231884058,7.06952055934743,4.20430828244082,3.9588579094727,3.04070270073259
19-19667000-24629000,15.9263477798871,3.39848262081923,3.16337571971089,3.08676287962101,2.6629363800284,2.76975092509658,3.61466625417026,3.24281966808055,2.31845401988746
19-27731000-33069000,9.89254374297705,8.13965233795984,6.18281585090617,6.55666868299463,7.28758093552933,8.60327510917031,7.35914894885051,7.55498359257072,5.65321168903803
19-34974000-35480000,7.44036111111111,3.87533498759305,5.41557248764415,6.0069040247678,3.35253271028037,5.76955620923392,3.96682474540204,5.35398902490502,2.86074647246245
19-36709000-38615000,18.4888972910538,4.84193396945401,5.70981722666083,4.75577232255506,2.92443591480394,3.0305449520684,5.55776058496593,5.07969216576437,2.44435131014431
19-51330000-54313000,15.1990359901191,4.02882742221325,5.15926859979197,5.52290885097559,3.11381509032944,5.24646170013713,4.29939668663321,4.70198079984563,2.67241814780168
19-54763000-55535000,5.84825446082234,3.36720762223851,3.393906612529,4.71471163700736,3.48292717584369,7.92677723130886,2.80002012831803,3.5396461966136,2.31615936110355
19-56213000-57750000,10.7229614282395,4.58018943462552,3.50351780576212,3.88538921563782,3.63337104825291,5.88157272280984,3.57319734024569,3.96095311894614,2.59384228263312
19-57947000-58738000,15.7449867985214,6.06571184731166,6.03754800792729,5.20410622126302,2.96213548323665,2.88843157494431,5.25452872168285,5.04068157878431,2.53181868846368
20-11932000-17470000,5.28192320807475,2.45530131628066,2.17725989571465,2.26510676783935,2.75070761085374,3.85693400137976,3.23473214923624,3.03719729673939,2.90854809517503
